mass,luminosity,pressure,radius,temperature,opacity,density,energy_generation_rate,radiative_grad,adiabatic_grad,actual_grad,transport
1.48846750350935e+33,4.793045809247911e+34,3.791330375757352e+16,21279698813.17545,11467766.335570376,1.2815726767865445,24.43771651726826,2.1124869160006297,0.35681412561075154,0.4,0.35681412561075154,radiative
1.4888653830773076e+33,4.793129365336315e+34,3.789797849639782e+16,21282557033.68156,11466092.614075217,1.281801371289217,24.431409155023594,2.1104598730080695,0.3568527118733622,0.4,0.3568527118733622,radiative
1.4892632626452652e+33,4.793212839518153e+34,3.7882657440727064e+16,21285415204.060158,11464418.68291636,1.2820302040479994,24.425103107325437,2.1084342988899736,0.3568913865012789,0.4,0.3568913865012789,radiative
1.4896611422132227e+33,4.793296231856431e+34,3.786734058930469e+16,21288273324.479916,11462744.541871795,1.2822591752149048,24.418798374066974,2.1064101927451544,0.35693014957647373,0.4,0.35693014957647373,radiative
1.4900590217811803e+33,4.793379542414128e+34,3.7852027940874456e+16,21291131395.10956,11461070.190720266,1.2824882849419148,24.41249495513953,2.1043875536736985,0.3569690011809032,0.4,0.3569690011809032,radiative
1.4904569013491382e+33,4.793462771254193e+34,3.7836719494180376e+16,21293989416.117867,11459395.629241254,1.2827175333809908,24.406192850432635,2.1023663807770174,0.35700794139651165,0.4,0.35700794139651165,radiative
1.4908547809170957e+33,4.793545918439546e+34,3.782141524796677e+16,21296847387.673668,11457720.857214998,1.2829469206840594,24.399892059833974,2.1003466731578095,0.35704697030522586,0.4,0.35704697030522586,radiative
1.4912526604850533e+33,4.793628984033076e+34,3.7806115200978216e+16,21299705309.945858,11456045.874422481,1.2831764470030278,24.393592583229406,2.0983284299200715,0.35708608798896085,0.4,0.35708608798896085,radiative
1.4916505400530109e+33,4.793711968097645e+34,3.779081935195958e+16,21302563183.10337,11454370.680645427,1.2834061124897744,24.387294420502997,2.0963116501690835,0.3571252945296171,0.4,0.3571252945296171,radiative
1.4920484196209684e+33,4.793794870696086e+34,3.777552769965604e+16,21305421007.315205,11452695.275666315,1.2836359172961456,24.38099757153695,2.0942963330114246,0.3571645900090784,0.4,0.3571645900090784,radiative
1.492446299188926e+33,4.793877691891202e+34,3.7760240242813e+16,21308278782.750412,11451019.659268366,1.2838658615739653,24.37470203621168,2.0922824775549627,0.3572039745092168,0.4,0.3572039745092168,radiative
1.4928441787568836e+33,4.793960431745766e+34,3.774495698017619e+16,21311136509.57809,11449343.831235554,1.2840959454750311,24.36840781440577,2.090270082908841,0.35724344811188874,0.4,0.35724344811188874,radiative
1.493242058324841e+33,4.794043090322524e+34,3.77296779104916e+16,21313994187.967403,11447667.791352592,1.2843261691511096,24.36211490599598,2.088259148183488,0.35728301089893705,0.4,0.35728301089893705,radiative
1.4936399378927987e+33,4.794125667684192e+34,3.77144030325055e+16,21316851818.087555,11445991.539404947,1.2845565327539437,24.355823310857254,2.0862496724905903,0.3573226629521902,0.4,0.3573226629521902,radiative
1.4940378174607563e+33,4.794208163893455e+34,3.769913234496448e+16,21319709400.107815,11444315.075178832,1.2847870364352416,24.349533028862734,2.0842416549431393,0.35736240435346067,0.4,0.35736240435346067,radiative
1.4944356970287138e+33,4.794290579012973e+34,3.768386584661536e+16,21322566934.1975,11442638.398461204,1.2850176803466937,24.343244059883727,2.0822350946553887,0.3574022351845499,0.4,0.3574022351845499,radiative
